Month,mean,std,count
1,0.0013942859172355283,0.02479142169991652,404
2,0.002136373623862026,0.028745827782776977,384
3,0.0008995145716129657,0.025090481035681726,438
4,0.001357093269469769,0.023349187521655768,413
5,0.0012835769246446085,0.026365014670497105,424
6,-0.0003168416339819174,0.02391898118651913,431
7,0.000985074432763822,0.024938953076765063,442
8,0.002285428878347615,0.03196998531268296,467
9,0.0009091903507724888,0.02274215882005518,429
10,0.0019002572241702197,0.02718723755562359,461
11,0.0018491485917420567,0.03116518331261412,431
12,-0.0004174810627932381,0.024461185670101537,421
