Day,mean,std,count
0,-0.00042240373894654275,0.02492452051421578,961
1,0.0010202782852611683,0.0239176085091046,1055
2,0.0013880266923646705,0.027960072634731714,1057
3,0.002239233338009155,0.02891222982410185,1039
4,0.0016182143742900156,0.025892721448415465,1033
