Month,mean,std,count
1,0.0008319775900272711,0.01215819974870453,121
2,-0.00019208023516539274,0.014796644023157396,115
3,0.0032821137919628596,0.034998253514107396,132
4,9.369729521484462e-05,0.01441964560578143,124
5,0.00078958978289584,0.015452908446422746,127
6,0.003577145711367801,0.024920404154767907,125
7,0.0015346238088113505,0.013021240029750783,127
8,-0.00015730100297207898,0.013578428999529516,133
9,-0.0002170379389641836,0.023032905474350444,123
10,0.0018803425538720848,0.016209695536340513,132
11,0.002831682417886363,0.011753361607764115,109
12,-0.0006109197825413913,0.024729098445337792,106
