Metric,Value
Strategy Total Return,0.1480988510931205
Strategy CAGR,0.024706342629544187
Strategy Volatility,0.21447613185990755
Strategy Sharpe,0.22140034326275765
Strategy Sortino,0.23082327891147414
Maximum Drawdown,-0.3477518587453002
Calmar Ratio,0.0710458966881887
