,count,mean,std,min,25%,50%,75%,max
Open,1475.0,82.85393885467012,29.577503744349286,41.119998931884766,56.21500015258789,77.69999694824219,101.11000061035156,186.25999450683597
High,1475.0,83.73714588229939,29.84305998903872,43.400001525878906,56.625,78.5999984741211,103.08499908447266,190.16000366210935
Low,1475.0,82.05121360649497,29.256668731934923,39.709999084472656,55.73499870300293,76.83000183105469,99.98500061035156,186.25999450683597
Close,1475.0,82.89696270441605,29.556111490668716,39.79999923706055,56.19499969482422,77.73999786376953,101.54000091552734,189.25
Volume,1475.0,10610134.033898305,6638791.587071774,2168200.0,6653650.0,8769800.0,12273150.0,68605700.0
