Regime,mean,std,count
Bear / High Vol,0.0025396474691418503,0.029477848847329086,268
Bear / Normal,0.0013211037797140805,0.015177444877599712,229
Bull / High Vol,0.0021025153618158122,0.02230879547369014,329
Bull / Normal,-0.00021133378212228235,0.013471055314352075,600
Mixed,0.00337822329870194,0.009286707057725923,48
