,Importance
Volume_Ratio,0.09904041251465157
Gap,0.08111174471988661
HL_Range,0.07633361937622361
Vol20,0.07458601325043379
Stochastic_K,0.0735566966747132
Mom20,0.07147748002555782
MACD,0.0706640632889358
Mom5,0.0703028089524656
MA50,0.06885069109694023
ATR,0.06590103373808058
RSI,0.06514143001853415
MACD_Signal,0.06461039673332057
Vol60,0.06265755765961882
MA20,0.05576605195063776
