Date,Open,High,Low,Close,Volume,Return,Log_Return,Year,Month,Quarter,Day,MA20,MA50,MA100,MA200,Vol5,Vol10,Vol20,Vol60,Mom5,Mom20,Volume_Ratio,HL_Range,Gap,RSI,MACD,MACD_Signal,ATR,Stochastic_K,OBV,Regime,Tomorrow_Return,Target
2019-01-02,44.47999954223633,45.34000015258789,44.45000076293945,45.220001220703125,14320400,,,2019,1,1,2,,,,,,,,,,,,0.0196815428045802,,,0.0,0.0,,,0.0,Mixed,-0.009730261599479872,0
2019-01-03,44.75,45.5,44.40999984741211,44.77999877929688,19868700,-0.009730261599479872,-0.009777909933983793,2019,1,1,3,,,,,,,,,,,,0.024341227831650363,-0.010393657850852596,,-0.0350999098557665,-0.0070199819711533,,,-19868700.0,Mixed,0.04309960602473417,1
2019-01-04,45.369998931884766,46.95000076293945,45.25,46.709999084472656,20984000,0.04309960602473417,0.04219667100317228,2019,1,1,4,,,,,,,,,,,,0.03639479332605184,0.01317552855451747,,0.09176029804738306,0.012736074032553972,,,1115300.0,Mixed,0.015842468271697996,1
2019-01-07,46.93000030517578,48.11000061035156,46.470001220703125,47.45000076293945,17967900,0.015842468271697996,0.015718286220971496,2019,1,1,0,,,,,,,,,,,,0.03456268415762281,0.004709938450336169,,0.24913797035009821,0.060016453296062824,,,19083200.0,Mixed,0.009062176991820659,1
2019-01-08,47.93000030517578,48.36000061035156,47.20000076293945,47.880001068115234,16255700,0.009062176991820659,0.009021361863198294,2019,1,1,1,,,,,,,,,,,,0.024227231026203735,0.010115901675837884,,0.40390240495626983,0.12879364362810425,,,35338900.0,Mixed,-0.002088602476764456,0
2019-01-09,46.63999938964844,48.22999954223633,46.61000061035156,47.77999877929688,19100200,-0.002088602476764456,-0.0020907866486919477,2019,1,1,2,,,,,0.02036150532331621,,,,0.05661206301387067,,,0.033905378260216966,-0.02589811300761545,,0.512576324642751,0.20555017983103363,,,16238700.0,Mixed,0.0008371895468668455,1
2019-01-10,47.380001068115234,47.97999954223633,46.880001068115234,47.81999969482422,16652700,0.0008371895468668455,0.0008368392991669975,2019,1,1,3,,,,,0.018059331058500848,,,,0.06788747204997292,,,0.023002895883333763,-0.00837165595230126,,0.5950693395999451,0.28345401178481594,,,32891400.0,Mixed,0.009828549220045169,1
2019-01-11,47.66999816894531,48.619998931884766,47.369998931884766,48.290000915527344,16397400,0.009828549220045169,0.009780563195974782,2019,1,1,4,,,,,0.007255419353551124,,,,0.03382577311117774,,,0.025885275963995074,-0.003136794789547889,,0.6904121770202281,0.3648456448318984,,,49288800.0,Mixed,-0.0022779169241264885,0
2019-01-14,47.84999847412109,48.34000015258789,47.619998931884766,48.18000030517578,14869400,-0.0022779169241264885,-0.002280515323591803,2019,1,1,0,,,,,0.005953591020257081,,,,0.015384605489964231,,,0.014943985391087227,-0.00911166769650603,,0.7484680587656811,0.44157012761865494,,,34419400.0,Mixed,0.004151115850407505,1
2019-01-15,47.470001220703125,48.52999877929688,47.40999984741211,48.380001068115234,12142100,0.004151115850407505,0.004142523738699247,2019,1,1,1,,,,,0.005055746569591895,,,,0.010442773367709268,,,0.02315003942037749,-0.014736386051794689,,0.8013783624900199,0.513531774592928,,,46561500.0,Mixed,-0.006614296977250689,0
2019-01-16,48.58000183105469,48.790000915527344,48.04999923706055,48.060001373291016,14114000,-0.006614296977250689,-0.006636268376666734,2019,1,1,2,,,,,0.006254010421434132,0.015156327777772656,,,0.0058602469892790054,,,0.015397454376229944,0.004133955322941555,,0.8081727460203751,0.5724599688784174,,,32447500.0,Mixed,0.01081981778828367,1
2019-01-17,48.0099983215332,48.90999984741211,47.810001373291016,48.58000183105469,12711200,0.01081981778828367,0.010761702382725223,2019,1,1,3,,,,,0.007570174839892263,0.01411191432922879,,,0.01589297660143507,,,0.022643030725822688,-0.001040429678089883,,0.845767553154694,0.6271214857336728,,,45158700.0,Mixed,0.014203347070849803,1
2019-01-18,48.93999862670898,49.56999969482422,48.869998931884766,49.27000045776367,15930600,0.014203347070849803,0.014103424581233618,2019,1,1,4,,,,,0.00869914753013919,0.0076788913980275104,,,0.020294046876300875,,,0.014207443808317465,0.007410390738687918,,0.9206264229472012,0.6858224731763785,,,61089300.0,Mixed,-0.006697824801880969,0
2019-01-22,48.84000015258789,49.16999816894531,48.65999984741211,48.93999862670898,13318700,-0.006697824801880969,-0.00672035589297483,2019,1,1,1,,,,,0.009673720227805695,0.007572827980827098,,,0.015774145220408986,,,0.010420889575891238,-0.008727426449780444,,0.9424601330088009,0.737150005142863,1.1571426391601562,87.79067661346531,47770600.0,Mixed,0.006130017576136515,1
