Cluster     Observations    Mean_Return             Mean_Volatility         Mean_RSI
0              414          0.004166658596300831    0.01350281699494614     70.65749176797617
1              173          0.013778917630570802    0.024418783265357197    48.30522173972599
2              144          -0.02366536380675209    0.017706617551032113    35.757491619757594
3              469          -0.0004146714901610541  0.013716951507088543    43.6106783197712
