day mean std count
0   0   0   1905
1   1   0.0011776007150715547   0.020096666200435216   2072
2   2   0.0021439288035486194   0.020389462369223604   2070
3   3   0.0007721290036065204   0.02077220015478152   2030
4   4   0.0002463538968872478   0.02085016223288994   2020
