NUMPY / RISK SUMMARY
               Metric         Value
        Maximum Close  5.420700e+02
       Maximum Volume  1.031789e+09
 Average Daily Return  1.039000e-03
 Maximum Daily Return  1.956520e-01
 Minimum Daily Return -3.011590e-01
Annualized Volatility  3.321460e-01
                 CAGR  2.292070e-01
     Maximum Drawdown -7.456450e-01
    Annualized Sharpe  7.884990e-01
