Metric,Value
Strategy Total Return,8.815422939860541
Strategy CAGR,0.11954311263044493
Strategy Volatility,0.29164373704413094
Strategy Sharpe,0.5312818759920416
Strategy Sortino,0.6408052174080313
Maximum Drawdown,-0.5036742852332237
Calmar Ratio,0.23734210011355084
