Regime,mean,std,count
Bear / High Vol,0.0007413502202239856,0.03484222751619937,984
Bear / Normal,0.0016483116273196647,0.022964667658716593,906
Bull / High Vol,0.0011759511698738619,0.029008668854950924,1174
Bull / Normal,0.0013426293440817062,0.01958302034205132,2033
Mixed,-0.004108424635762098,0.05641716911081342,48
