Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5041789577187807,0.5229649840836744,0.5429650613786591,0.5327773917072041
Random Forest,0.492133726647001,0.516270337922403,0.3895184135977337,0.44402583423035524
Gradient Boosting,0.4882005899705015,0.5152027027027027,0.28800755429650615,0.36947304663840097
Extra Trees,0.49557522123893805,0.5172054223149114,0.4683663833805477,0.49157581764122893
