,count,mean,std,min,25%,50%,75%,max
Open,5146.0,90.2655418385099,85.48763686336208,2.389392882,15.8801269625,58.176731794999995,154.34479952499998,345.5
High,5146.0,91.40646342701069,86.48408853112024,2.451616653,16.175689192500002,58.89852739,156.6197226,348.8599854
Low,5146.0,89.0878830402777,84.45006935052928,2.240055738,15.6318553525,57.46488992,152.102267925,339.1400146
Close,5146.0,90.28816918667604,85.48778394272574,2.386903524,15.87950516,58.04232407,154.449340825,343.1799927
Volume,5146.0,6891506.762534007,5198078.50055956,463600.0,4018125.0,5556850.0,8166800.0,87332400.0
