Metric,Value
Maximum Close,343.1799927
Maximum Volume,87332400.0
Average Daily Return,0.001192572730512237
Maximum Daily Return,0.26044896062969003
Minimum Daily Return,-0.271481894572808
Annualized Volatility,0.4192728187837298
CAGR,0.23690965608923875
Maximum Drawdown,-0.7049576781032233
Annualized Sharpe,0.7167846677036865
