Number of anomalies detected: 12

               Date  Anomaly
2020-02-26 05:00:00        1
2020-02-27 05:00:00        1
2020-02-28 05:00:00        1
2020-03-02 05:00:00        1
2020-03-03 05:00:00        1
2020-03-04 05:00:00        1
2020-03-05 05:00:00        1
2020-03-06 05:00:00        1
2020-03-09 04:00:00        1
2020-03-10 04:00:00        1
2020-03-11 04:00:00        1
2020-03-12 04:00:00        1
2020-03-13 04:00:00       -1
2020-03-16 04:00:00       -1
2020-03-17 04:00:00       -1
2020-03-18 04:00:00       -1
2020-03-19 04:00:00        1
2020-03-20 04:00:00        1
2020-03-23 04:00:00        1
2020-03-24 04:00:00        1
2020-03-25 04:00:00        1
2020-03-26 04:00:00        1
2020-03-27 04:00:00        1
2020-03-30 04:00:00        1
2020-03-31 04:00:00        1
2020-04-01 04:00:00       -1
2020-04-02 04:00:00        1
2020-04-03 04:00:00        1
2020-04-06 04:00:00        1
2020-04-07 04:00:00        1
2020-04-08 04:00:00        1
2020-04-09 04:00:00        1
2020-04-13 04:00:00        1
2020-04-14 04:00:00        1
2020-04-15 04:00:00        1
2020-04-16 04:00:00        1
2020-04-17 04:00:00        1
2020-04-20 04:00:00        1
2020-04-21 04:00:00        1
2020-04-22 04:00:00        1
2020-04-23 04:00:00        1
2020-04-24 04:00:00        1
2020-04-27 04:00:00        1
2020-04-28 04:00:00        1
2020-04-29 04:00:00        1
2020-04-30 04:00:00        1
2020-05-01 04:00:00        1
2020-05-04 04:00:00        1
2020-05-05 04:00:00        1
2020-05-06 04:00:00        1
2020-05-07 04:00:00        1
2020-05-08 04:00:00        1
2020-05-11 04:00:00        1
2020-05-12 04:00:00        1
2020-05-13 04:00:00        1
2020-05-14 04:00:00        1
2020-05-15 04:00:00        1
2020-05-18 04:00:00        1
2020-05-19 04:00:00        1
2020-05-20 04:00:00        1
2020-05-21 04:00:00        1
2020-05-22 04:00:00        1
2020-05-26 04:00:00        1
2020-05-27 04:00:00        1
2020-05-28 04:00:00        1
2020-05-29 04:00:00        1
2020-06-01 04:00:00        1
2020-06-02 04:00:00        1
2020-06-03 04:00:00        1
2020-06-04 04:00:00        1
2020-06-05 04:00:00        1
2020-06-08 04:00:00        1
2020-06-09 04:00:00        1
2020-06-10 04:00:00        1
2020-06-11 04:00:00        1
2020-06-12 04:00:00        1
2020-06-15 04:00:00        1
2020-06-16 04:00:00        1
2020-06-17 04:00:00        1
2020-06-18 04:00:00        1
2020-06-19 04:00:00        1
2020-06-22 04:00:00        1
2020-06-23 04:00:00        1
2020-06-24 04:00:00        1
2020-06-25 04:00:00        1
2020-06-26 04:00:00        1
2020-06-29 04:00:00        1
2020-06-30 04:00:00        1
