Date,Open,High,Low,Close,Volume,Return,Log_Return,Year,Month,Quarter,Day,MA20,MA50,MA100,MA200,Vol5,Vol10,Vol20,Vol60,Mom5,Mom20,Volume_Ratio,HL_Range,Gap,RSI,MACD,MACD_Signal,ATR,Stochastic_K,OBV,Regime,Tomorrow_Return,Target
1986-09-24 04:00:00,0.0,0.267742955,0.25674051,0.25674051,1312000,0.01449498418301376,0.014390936144367473,1986,9,3,2,0.23491733725000002,,,,0.022690297650487808,0.06158472995418947,0.05461674490014803,,-0.0540544434099679,0.2727275151819819,1.051821446895844,0.04285433958201621,-1.0,58.333461326332205,0.015025306890623424,0.013226256865304258,0.017290552785714286,61.11173004545042,1267200.0,Mixed,-0.02857280294410869,0
1986-09-25 04:00:00,0.0,0.264075579,0.249404714,0.249404714,1657600,-0.02857280294410869,-0.02898895166965912,1986,9,3,3,0.23730134055000002,,,,0.022873941091159148,0.045650641417475865,0.05535822082179638,,-0.08108275939427012,0.23636212268914214,1.377659574468085,0.05882352728906321,-1.0,56.75662338100257,0.0138848698278905,0.013357979457821507,0.017552515642857144,50.000000757363566,-390400.0,Mixed,0.0,0
1986-09-26 04:00:00,0.0,0.260408086,0.249404714,0.249404714,768000,0.0,0.0,1986,9,3,4,0.2400521411,,,,0.022873941091159148,0.04589281811937742,0.054268638940255874,,-0.08108275939427012,0.2830206187444957,0.6598845202089634,0.044118540598234175,-1.0,58.333053555721,0.012833132871870268,0.013253010140631261,0.0175525815,50.000000757363566,-390400.0,Mixed,0.01470508692951178,1
1986-09-29 04:00:00,0.0,0.260408113,0.253072232,0.253072232,473600,0.01470508692951178,0.014598015525291828,1986,9,3,0,0.24298631755,,,,0.021706036681328363,0.0345589442303707,0.054169506956466364,,-0.028170671017867632,0.3018875484754895,0.4266359181320265,0.02898730114333519,-1.0,57.14270490676942,0.012155441446249027,0.013033496401754815,0.01702866414285714,55.55528980509416,83200.0,Mixed,0.0,0
1986-09-30 04:00:00,0.0,0.267743099,0.253072232,0.253072232,192000,0.0,0.0,1986,9,3,1,0.24518695235000001,,,,0.01762576610450002,0.0314985453217622,0.052307374918496824,,0.0,0.21052709119186042,0.18007202881152462,0.05797106574695234,-1.0,53.12479264048602,0.011485963076360628,0.012723989736675979,0.01650466757142857,55.55528980509416,83200.0,Mixed,0.0,0
1986-10-01 04:00:00,0.0,0.267743099,0.253072232,0.253072232,371200,0.0,0.0,1986,10,4,2,0.24738758715000003,,,,0.015765325402565183,0.018904401652782024,0.052307374918496824,,-0.014287881565709926,0.21052709119186042,0.34866245867147583,0.05797106574695234,-1.0,70.83270038293291,0.010830548819879826,0.01234530155331675,0.015456750071428566,52.941050523277084,83200.0,Mixed,0.0,0
1986-10-02 04:00:00,0.0,0.267743099,0.253072232,0.253072232,224000,0.0,0.0,1986,10,4,3,0.24830451075,,,,0.006576314797886509,0.018904401652782024,0.04520380493828001,,0.01470508692951178,0.078124561205001,0.22727272727272727,0.05797106574695234,-1.0,69.5646650960853,0.01019362256400591,0.011914965755454582,0.015718712285714278,27.27163372997623,83200.0,Mixed,0.0,0
1986-10-03 04:00:00,0.0,0.264075606,0.253072232,0.253072232,44800,0.0,0.0,1986,10,4,4,0.24940480655000002,,,,0.006576314797886509,0.018904401652782024,0.0449675512562839,,0.01470508692951178,0.09523636495766885,0.05085361423901199,0.04347918344514388,-1.0,58.822828559828665,0.00957843962776278,0.011447660529916222,0.014146868857142851,11.110578263756137,83200.0,Mixed,0.01449498418301376,1
1986-10-06 04:00:00,0.0,0.267742955,0.25674051,0.25674051,128000,0.01449498418301376,0.014390936144367473,1986,10,4,0,0.2508718877,,,,0.006482353993200715,0.015738891550856043,0.044718792158856095,,0.01449498418301376,0.12903151544448854,0.14836795252225518,0.04285433958201621,-1.0,53.33368158032592,0.009279928852896913,0.011014114194512361,0.013622926571428565,22.22345891279846,211200.0,Mixed,0.0,0
1986-10-07 04:00:00,0.0,0.267742955,0.25674051,0.25674051,198400,0.0,0.0,1986,10,4,1,0.2519722252,,,,0.006482353993200715,0.012605049830220028,0.04434198690968454,,0.01449498418301376,0.09375195966698602,0.23405058512646282,0.04285433958201621,-1.0,30.000900239062176,0.008940298714721129,0.010599351098554116,0.012574941642857137,22.22345891279846,211200.0,Mixed,0.0,0
1986-10-08 04:00:00,0.0,0.267742955,0.25674051,0.25674051,204800,0.0,0.0,1986,10,4,2,0.2525223917,,,,0.006482353993200715,0.011750696762403659,0.04326209496973907,,0.01449498418301376,0.04477682213167733,0.252465483234714,0.04285433958201621,-1.0,30.000900239062176,0.008572322980085145,0.010193945474860322,0.012574941214285712,22.22345891279846,211200.0,Mixed,0.0,0
1986-10-09 04:00:00,0.0,0.267742955,0.25674051,0.25674051,793600,0.0,0.0,1986,10,4,3,0.2545396438,,,,0.006482353993200715,0.006156114690764912,0.03232390934941643,,0.01449498418301376,0.18644125208758977,1.042893187552565,0.04285433958201621,-1.0,30.000900239062176,0.008186332612719838,0.009792422902432226,0.012574940785714288,33.33423759965721,211200.0,Mixed,0.0,0
1986-10-10 04:00:00,0.0,0.267742955,0.25674051,0.25674051,224000,0.0,0.0,1986,10,4,4,0.2563735215,,,,0.006482353993200715,0.006156114690764912,0.032328495335915926,,0.01449498418301376,0.1666684600928472,0.31645569620253167,0.04285433958201621,-1.0,42.85786338162541,0.007790626967488112,0.009392063715443403,0.012574872214285717,40.00241024495878,211200.0,Mixed,0.014285213502146732,1
1986-10-13 04:00:00,0.0,0.267743089,0.260408103,0.260408103,454400,0.014285213502146732,0.014184141261556676,1986,10,4,0,0.2572904421,,,,0.006388541692779698,0.00606759986767644,0.02417304944836552,,0.014285213502146732,0.07575674560595846,0.6676069581570286,0.028167272506109335,-1.0,66.66678026449485,0.007684390624728338,0.009050529097300392,0.012574815428571431,60.00195218935588,665600.0,Mixed,0.0,0
1986-10-14 04:00:00,0.0,0.271411505,0.260408103,0.260408103,480000,0.0,0.0,1986,10,4,1,0.25765723565,,,,0.006388541692779698,0.00606759986767644,0.022112786642468588,,0.014285213502146732,0.028987261628924843,0.7477567298105683,0.042254453195721006,-1.0,59.99933475778784,0.007513585619720209,0.008743140401784356,0.012312863928571432,49.9999704636628,665600.0,Mixed,0.0,0
1986-10-15 04:00:00,0.0,0.271411505,0.260408103,0.260408103,352000,0.0,0.0,1986,10,4,2,0.2571070654,,,,0.006388541692779698,0.00606759986767644,0.01454009164402275,,0.014285213502146732,-0.04054140917267235,0.5949161709031909,0.042254453195721006,-1.0,,0.007294139127252602,0.008453340146878006,0.012050902285714288,49.9999704636628,665600.0,Mixed,0.0,0
1986-10-16 04:00:00,0.0,0.271411505,0.260408103,0.260408103,352000,0.0,0.0,1986,10,4,3,0.25655689515,,,,0.006388541692779698,0.00606759986767644,0.01454009164402275,,0.014285213502146732,-0.04054140917267235,0.5949161709031909,0.042254453195721006,-1.0,,0.007039084022017306,0.008170488921905866,0.012050904428571431,40.00088225961846,665600.0,Mixed,0.0,0
1986-10-17 04:00:00,0.0,0.271411505,0.260408103,0.260408103,83200,0.0,0.0,1986,10,4,4,0.2560067249,,,,0.006388541692779698,0.00606759986767644,0.01454009164402275,,0.014285213502146732,-0.04054140917267235,0.15276145710928318,0.042254453195721006,-1.0,,0.0067590370418811885,0.007888198545900931,0.012050904642857145,40.00088225961846,665600.0,Mixed,0.0,0
1986-10-20 04:00:00,0.0,0.271411505,0.260408103,0.260408103,44800,0.0,0.0,1986,10,4,0,0.2560067249,,,,0.0,0.004517381152857453,0.011356499020256311,,0.0,0.0,0.08821676118462508,0.042254453195721006,-1.0,,0.006462600951553654,0.0076030790270314765,0.011788942857142862,40.00088225961846,665600.0,Mixed,0.028167356988887393,1
