         Cluster     Observations  Mean_Return  Mean_Volatility  Mean_RSI                      
         0    61 -0.047322469724028676 0.025823417386155543 36.87338509597655   
         1   524 -0.0008557931266420802 0.02219136007634097 39.278951646426854
         2   567 0.006562216587131196 0.019417874654396993 67.42184071237696
         3    48 0.00777176376087058 0.05456573996388797 37.15742655050534
